District Name,Average Daily Attendance,Avg. Salary 2014-15,% Change Since 2008
Roseville City Elementary,9545,77140,17.4
Roseville Joint Union High,9779,77901,15
Tahoe-Truckee Joint Unified ,3518,75263,7.8
Western Placer Unified,6385,72758,16.4
Rocklin Unified,10732,71152,14.7
Plumas Unified ,1730,58279,0.2
Alvord Unified,18580,85668,16
Banning Unified,4296,67204,5
Beaumont Unified,8652,69861,11.7
Corona-Norco Unified,51763,89308,17.5
Desert Sands Unified,27483,75608,4.8
Hemet Unified,20230,76186,13.8
Jurupa Unified,18487,82263,11.4
Menifee Union Elementary,9101,74912,11.6
Moreno Valley Unified,32420,77108,11.8
Nuview Union Elementary,2069,72074,12.9
Palm Springs Unified,21969,76546,13.9
Palo Verde Unified,2945,72198,21
Perris Elementary,5538,78425,18.2
Perris Union High,8876,77543,14.3
Riverside Unified,39984,81908,16.2
Romoland Elementary,3364,79667,17.6
San Jacinto Unified,9031,75917,13.1
Coachella Valley Unified,18006,76521,21.9
Lake Elsinore Unified,20817,79489,18
Temecula Valley Unified,27149,82811,12.2
Murrieta Valley Unified,21599,82264,13
Val Verde Unified,18903,75804,11.8
Arcohe Union Elementary,358,67400,9.4
Elk Grove Unified,59739,73322,12.2
Folsom Cordova Unified,18420,73348,10.5
Galt Joint Union Elementary,3536,72669,14.4
River Delta Joint Unified,1910,53189,2.1
Sacramento City Unified,40769,67009,10.7
San Juan Unified,38031,74317,7.1
Center Joint Unified,4221,72010,8.3
Natomas Unified,9212,68832,14.4
Twin Rivers Unified,24776,71399,14.5
Hollister Elementary,5204,70314,3.3
North County Joint Union Elementary,725,66596,13
San Benito High,2809,72042,9.4
Aromas/San Juan Unified,1095,66116,5
Adelanto Elementary,7878,67984,13.2
Alta Loma Elementary,5703,72284,1.3
Barstow Unified,5601,64304,15.7
Bear Valley Unified,2293,70227,8.4
Central Elementary,4540,74253,7.1
Chaffey Joint Union High,23296,88427,13.3
Chino Valley Unified,27836,81554,11.1
Colton Joint Unified,22109,75782,12.2
Cucamonga Elementary ,2411,77098,21
Etiwanda Elementary,13270,77192,12.9
Fontana Unified,38005,75070,12.5
Helendale Elementary,883,63081,15.3
Morongo Unified,7737,74100,17.1
Needles Unified,797,69038,15.9
Ontario-Montclair Elementary,21813,82198,20.8
Redlands Unified,20133,80558,11.1
Rialto Unified,25130,79084,13
Rim of The World Unified,3465,68258,8.7
San Bernardino City Unified,47476,76890,12.9
Trona Joint Unified,218,70916,7.5
Victor Elementary,11169,79839,16.4
Victor Valley Union High,8741,71593,16
Yucaipa-Calimesa Joint Unified,8495,74751,4.2
Silver Valley Unified,2145,64917,14.3
Snowline Joint Unified,7388,70944,3.4
Hesperia Unified,20554,69949,12.2
Lucerne Valley Unified,684,64117,-6
Upland Unified,10911,75712,4.6
Apple Valley Unified,12231,73958,12.4
Alpine Union Elementary,1639,68941,2.9
Cajon Valley Union Elementary,15408,73966,8.6
Chula Vista Elementary,23121,71827,9.5
Coronado Unified,3031,67131,3.5
Del Mar Union Elementary ,4271,78068,11.6
Encinitas Union Elementary ,5217,76404,11.9
Escondido Union Elementary,16397,72328,11.9
Escondido Union High,7297,69613,9.6
Fallbrook Union Elementary,4900,73251,3.6
Fallbrook Union High,2300,74916,8.6
Grossmont Union High,16411,75945,9.6
Jamul-Dulzura Union Elementary,558,68722,5.3
Lakeside Union Elementary,4733,71907,3.4
La Mesa-Spring Valley,11627,78693,9.3
Lemon Grove Elementary,3723,72128,6.5
Mountain Empire Unified,1443,54359,-2.5
National Elementary,5375,68507,3.8
Poway Unified,34472,77791,10.5
Ramona City Unified,5414,69778,2.1
Rancho Santa Fe Elementary ,657,71594,6.3
San Diego Unified,103963,73582,14.4
San Dieguito Union High ,12110,79161,5.2
San Pasqual Union Elementary,534,63617,13.1
Santee Elementary,6278,76351,7.8
San Ysidro Elementary,4603,72836,5.6
Solana Beach Elementary ,3053,80052,11.9
South Bay Union Elementary,7239,75500,7.4
Sweetwater Union High,38015,79715,9.7
Vista Unified,21167,70690,10.5
Carlsbad Unified ,10596,76146,11.7
Oceanside Unified,18133,76339,5.7
San Marcos Unified,19677,68936,4.9
Valley Center-Pauma Unified,3985,77735,8.8
San Francisco Unified,51003,65238,8.5
Banta Elementary,325,65954,12.7
Escalon Unified,2742,68198,14.5
Jefferson Elementary,2345,65695,18.5
Lincoln Unified,8836,67953,10.2
Lodi Unified,27078,67015,5.5
Manteca Unified,21969,70381,12.7
New Hope Elementary,211,51362,22.6
New Jerusalem Elementary,231,58398,21.5
Oak View Union Elementary,398,65955,15.5
Ripon Unified,2891,67994,12.2
Stockton Unified,34650,65674,12.2
Tracy Joint Unified,14999,68082,10.5
Atascadero Unified,4514,64846,1.8
Lucia Mar Unified,10273,63452,6.3
Pleasant Valley Joint Union Elementary,127,55807,1.5
San Luis Coastal Unified ,7124,73247,5.1
Shandon Joint Unified,281,59403,4.3
Templeton Unified,2398,63812,1.6
Paso Robles Joint Unified,6242,66582,3.3
Coast Unified ,680,70064,0.2
Belmont-Redwood Shores Elementary ,3703,76147,10.2
Burlingame Elementary,3204,71605,13.7
Hillsborough City Elementary ,1505,94811,11.9
Jefferson Elementary,6061,67020,12.8
Jefferson Union High ,4441,65619,11.8
Pacifica School District,3006,61513,11.4
Las Lomitas Elementary ,1269,94104,9.4
Millbrae Elementary,2390,69942,9.3
Ravenswood City Elementary,3249,65591,12.6
Redwood City Elementary,8489,72410,5.3
San Bruno Park Elementary ,2670,65425,9.5
San Carlos Elementary,2724,76469,17.1
San Mateo-Foster City Elementary ,11440,71213,13.5
San Mateo Union High ,7886,93795,17.7
Sequoia Union High ,7937,89181,11.8
South San Francisco Unified ,8763,65722,11.7
Ballard Elementary ,117,87957,26.4
Santa Maria-Bonita Elementary,15489,78953,14.5
Goleta Union Elementary ,3572,80931,12.7
Hope Elementary ,1010,78527,8.8
Los Olivos Elementary,470,62868,11.8
